Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/17,P20-40,Total,1+,12140000.0,407424.0,240380160.0,national,1,0.59,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/17,2019/4/20,Potential wedding people,Total,1+,3874000.0,22000.0,18040000.0,national,9,0.82,BPI,
2019,Dove Core,Dove Y19 Rainbow campaign,2019/4/22,2019/5/3,P15-35,Total,1+,3000000.0,129609.0,22468637.0,national,15,0.17335707396862873,BPI,
2019,Dove Core,Dove Y19 Music campaign,2019/9/9,2019/12/6,P20-40,Total,1+,9730398.0,430484.0,249680720.0,national,17,0.58,BPI,
2019,Dove Gifting,Dove Y19 CVD campaign,2019/7/24,2019/8/7,P18-35,Total,1+,5932000.0,320000.0,189985522.0,national,20,0.59370475625,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Total,1+,6237350.0,220000.0,118508980.0,national,24,0.5386771818181818,BPI,
2019,Dove Core,Dove Y19 Premium line Campaign,2019/11/1,2020/11/12,P18-40,Total,1+,1325000.0,117623.0,29405750.0,national,34,0.25,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/6,2019/12/23,P15-30,Total,1+,5448000.0,231000.0,60060000.0,national,36,0.26,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2019/12/28,2020/1/31,P18-35,Total,1+,10350000.0,352171.0,161998660.0,national,41,0.46,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/22,2020/4/29,Potential wedding people,Total,1+,1272000.0,22000.0,10120000.0,national,46,0.46,BPI,
2020,Dove Gifting,Dove Y20 CVD campaign,2020/8/17,2020/8/25,P18-35,Total,1+,2055781.0,352171.0,34733420.0,national,52,0.09862657629390267,BPI,
2020,Dove Core,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,Total,1+,4196933.0,383000.0,38798086.0,national,55,0.10130048563968669,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/7/13,2020/9/16,P20-40,Total,1+,22792000.0,380000.0,338200000.0,national,59,0.89,BPI,
2020,Dove Core,Dove Y20 Premium line campaign,2020/10/9,2020/11/8,P18-30,Total,1+,3935760.0,240000.0,48000000.0,national,67,0.2,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Total,1+,9687549.0,407424.0,139158488.0,national,71,0.3415569234998429,BPI,
2019,Snickers,SNK Y19 BPI CNY,2019/1/7,2019/2/3,P15-35 Migrator,Total,1+,4001683.0,255000.0,115973617.0,national,77,0.4547984980392157,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/1,43585.00,P14-24 & 40-50,Total,1+,8002241.0,171000.0,146651584.0,national,81,0.8576116023391813,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/6,2019/11/2,P15-35,Total,1+,4063614.0,316478.0,201078544.0,national,88,0.6353634186262552,BPI,
2019,Snickers,SNK Y19 Sports,2019/9/8,2019/10/12,P15-44,Total,1+,5540000.0,475484.0,146133265.0,national,93,0.3073358199224369,BPI,
2020,Snickers,SNK Y20 BPI CNY,2019/12/11,2020/1/28,P15-40 Migrator,Total,1+,10866310.0,326395.0,223295141.0,national,98,0.6841254951822179,BPI,
2020,Snickers,SNK Y20 BPI Summer Sports,2020/7/12,2020/8/8,P15-40,Total,1+,4222300.0,449903.0,73588350.0,national,107,0.16356492399472775,BPI,
