Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,reach,split,IMP Actual
2019,Dove,Dove Y19 Rainbow campaign,2019/4/22,2019/5/3,Total,OTV,1+,9308137.0,129609.0,102391184.0,national,0.25131357995601633,OTV,"637,918,255 "
2019,Dove,Dove Y19 Rainbow campaign - PBU,2019/4/22,2019/5/3,P15-35,OTV,1+,9139549.0,129609.0,102391184.0,38,0.25131357995601633,OTV,"630,307,000 "
2019,Dove,Dove Y19 Rainbow campaign - siso,2019/4/22,2019/5/3,All People,OTV,1+,168588.0,129609.0,1296091.0,National,0.0031811847117499212,OTV,"7,611,255 "
2019,Dove,Dove Y19 Premium line Campaign,2019/9/16,2019/11/30,Total,OTV,1+,5505358.0,117623.0,105860700.0,national,0.25982931786050895,OTV,"421,981,563 "
2019,Dove,Dove Y19 Premium line - xaxis,2019/10/14,2019/11/30,P18-40,OTV,1+,5326958.0,117623.0,105860700.0,36,0.25982931786050895,OTV,"414,148,839 "
2019,Dove,Dove Y19 Premium line - SISO,2019/9/16,2019/9/29,All People,OTV,1+,178400.0,117623.0,7057380.0,National,0.01732195452403393,OTV,"7,832,724 "
2019,Dove,Dove Y19 Ice cream campaign,2019/12/11,2020/1/3,Total,OTV,1+,6841235.0,231000.0,166320000.0,national,0.4082233741753063,OTV,"593,511,526 "
2019,Dove,Dove Y19 Ice cream - xaxis,2019/12/11,2020/1/3,P15-30,OTV,1+,4628562.0,231000.0,161700000.0,112,0.3842269719255308,OTV,"436,364,082 "
2019,Dove,Dove Y19 Ice cream - 热剧庆余年,2019/12/11,2019/12/31,All People,OTV,1+,2212673.0,231000.0,11550000.0,National,0.525,OTV,"157,147,444 "
2020,Dove,Dove Y20 CNY,2019/12/29,2020/1/11,Total,OTV,1+,89200.0,352171.0,3169539.0,national,0.14406995454545454,OTV,"4,056,468 "
2020,Dove,Dove Y20 CNY  - siso,2019/12/29,2020/1/11,All People,OTV,1+,89200.0,352171.0,3169539.0,National,0.14406995454545454,OTV,"4,056,468 "
2020,Dove,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,OTV,1+,196607.0,4663.0,4345074.0,成都,0.19750336363636364,OTV,"13,717,000 "
2020,Dove,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,OTV,1+,257503.0,7838.0,6937425.0,重庆,0.3153375,OTV,"20,496,000 "
